,word,count_1,count_2,count_3,count_4,sum
51,abolished,14.0,0.0,0.0,10.0,24.0
52,abolishing,17.0,0.0,0.0,4.0,21.0
53,abortion,16.0,105.0,0.0,235.0,356.0
54,abound,46.0,0.0,12.0,26.0,84.0
55,aboutface,14.0,0.0,0.0,0.0,14.0
56,aboveaverage,19.0,0.0,0.0,0.0,19.0
57,abovemarket,37.0,0.0,0.0,0.0,37.0
58,abovereferenced,68.0,0.0,0.0,0.0,68.0
59,abraham,430.0,17.0,0.0,0.0,447.0
60,abramson,12.0,0.0,0.0,0.0,12.0
61,abreast,42.0,0.0,0.0,2.0,44.0
62,abroad,153.0,45.0,0.0,97.0,295.0
63,abrogate,15.0,0.0,0.0,1.0,16.0
64,abrogating,13.0,0.0,0.0,0.0,13.0
65,abrupt,20.0,0.0,20.0,20.0,60.0
66,abruptly,63.0,0.0,11.0,49.0,123.0
67,absence,485.0,23.0,246.0,106.0,860.0
68,absences,12.0,0.0,0.0,14.0,26.0
69,absense,14.0,0.0,0.0,0.0,14.0
70,absent,130.0,16.0,41.0,47.0,234.0
71,absentee,13.0,29.0,0.0,7.0,49.0
72,absolute,127.0,27.0,340.0,50.0,544.0
73,absolutely,499.0,37.0,23.0,164.0,723.0
74,absorb,196.0,0.0,11.0,41.0,248.0
75,absorbed,58.0,0.0,17.0,29.0,104.0
76,absorbing,31.0,0.0,32.0,10.0,73.0
77,absorption,10.0,0.0,16.0,5.0,31.0
78,abstain,17.0,85.0,0.0,4.0,106.0
79,abstract,50.0,0.0,1652.0,24.0,1726.0
80,absurd,45.0,10.0,0.0,33.0,88.0
81,abt,13.0,0.0,0.0,0.0,13.0
82,abu,111.0,182.0,79.0,0.0,372.0
83,abundance,37.0,0.0,0.0,12.0,49.0
84,abundant,51.0,0.0,0.0,17.0,68.0
85,abundantly,14.0,0.0,0.0,8.0,22.0
86,abuse,223.0,101.0,0.0,192.0,516.0
87,abused,31.0,0.0,0.0,22.0,53.0
88,abuses,130.0,71.0,0.0,43.0,244.0
89,abusing,16.0,0.0,0.0,8.0,24.0
90,abusive,26.0,0.0,0.0,16.0,42.0
91,abx,92.0,0.0,0.0,0.0,92.0
92,abx1,74.0,0.0,0.0,0.0,74.0
93,abx2,104.0,0.0,0.0,0.0,104.0
94,aca,15.0,0.0,11.0,0.0,26.0
95,acacia,24.0,0.0,0.0,0.0,24.0
96,academia,30.0,0.0,0.0,15.0,45.0
97,academic,339.0,0.0,224.0,153.0,716.0
98,academically,22.0,0.0,0.0,9.0,31.0
99,academy,124.0,18.0,61.0,14.0,217.0
100,acapulco,60.0,0.0,0.0,0.0,60.0
101,acc,35.0,0.0,19.0,0.0,54.0
102,accel,87.0,0.0,0.0,0.0,87.0
103,accelerate,160.0,0.0,23.0,31.0,214.0
104,accelerated,141.0,0.0,18.0,35.0,194.0
105,accelerates,10.0,0.0,0.0,7.0,17.0
106,accelerating,49.0,0.0,15.0,12.0,76.0
107,acceleration,59.0,0.0,114.0,30.0,203.0
108,accelerator,87.0,0.0,30.0,11.0,128.0
109,accent,32.0,11.0,18.0,30.0,91.0
110,accenture,139.0,0.0,0.0,0.0,139.0
111,accept,1139.0,74.0,127.0,298.0,1638.0
112,acceptable,435.0,21.0,86.0,62.0,604.0
113,acceptance,888.0,40.0,32.0,72.0,1032.0
114,acceptances,12.0,0.0,0.0,0.0,12.0
115,accepted,646.0,43.0,123.0,190.0,1002.0
116,accepting,210.0,10.0,38.0,47.0,305.0
117,access,7462.0,97.0,272.0,576.0,8407.0
118,accessed,122.0,0.0,21.0,6.0,149.0
119,accessibility,12.0,0.0,0.0,4.0,16.0
120,accessible,153.0,0.0,32.0,61.0,246.0
121,accessing,194.0,0.0,14.0,0.0,208.0
122,accessories,126.0,0.0,0.0,18.0,144.0
123,accessory,21.0,0.0,0.0,13.0,34.0
124,accident,257.0,18.0,0.0,300.0,575.0
125,accidental,16.0,0.0,0.0,11.0,27.0
126,accidentally,39.0,9.0,0.0,22.0,70.0
127,acclaimed,20.0,0.0,0.0,32.0,52.0
128,accolades,16.0,0.0,0.0,3.0,19.0
129,accommodate,297.0,0.0,42.0,42.0,381.0
130,accommodated,11.0,0.0,10.0,3.0,24.0
131,accommodating,24.0,0.0,0.0,13.0,37.0
132,accommodation,180.0,0.0,0.0,42.0,222.0
133,accomodate,50.0,0.0,10.0,0.0,60.0
134,accomodation,25.0,0.0,0.0,0.0,25.0
135,accompanied,89.0,0.0,21.0,91.0,201.0
136,accompany,73.0,0.0,0.0,18.0,91.0
137,accompanying,146.0,0.0,27.0,34.0,207.0
138,accomplish,242.0,25.0,58.0,43.0,368.0
139,accomplished,258.0,65.0,138.0,74.0,535.0
140,accomplishing,22.0,0.0,0.0,3.0,25.0
141,accomplishment,199.0,10.0,0.0,71.0,280.0
142,accord,433.0,0.0,28.0,126.0,587.0
143,accordance,218.0,0.0,62.0,7.0,287.0
144,according,4187.0,0.0,1140.0,1191.0,6518.0
145,accordion,11.0,0.0,0.0,9.0,20.0
146,account,5312.0,727.0,803.0,594.0,7436.0
147,accountabilities,11.0,0.0,0.0,0.0,11.0
148,accountability,117.0,18.0,0.0,48.0,183.0
149,accountable,101.0,14.0,0.0,41.0,156.0
150,accountant,210.0,0.0,0.0,52.0,262.0
151,accounted,160.0,0.0,67.0,54.0,281.0
152,accounting,2018.0,25.0,47.0,115.0,2205.0
153,accreditation,12.0,0.0,0.0,5.0,17.0
154,accredited,26.0,0.0,0.0,7.0,33.0
155,accretion,15.0,0.0,0.0,1.0,16.0
156,accretive,26.0,0.0,0.0,0.0,26.0
157,accross,11.0,0.0,0.0,0.0,11.0
158,accrual,161.0,0.0,0.0,0.0,161.0
159,accrue,48.0,0.0,0.0,4.0,52.0
160,accrued,110.0,0.0,0.0,5.0,115.0
161,accruing,18.0,0.0,0.0,1.0,19.0
162,acct,46.0,0.0,0.0,0.0,46.0
163,acctg,18.0,0.0,0.0,0.0,18.0
164,accum,35.0,0.0,0.0,0.0,35.0
165,accumedia,10.0,0.0,0.0,0.0,10.0
166,accumulate,81.0,0.0,52.0,15.0,148.0
167,accumulated,110.0,0.0,97.0,18.0,225.0
168,accumulating,26.0,0.0,28.0,12.0,66.0
169,accumulation,26.0,0.0,64.0,22.0,112.0
170,accuracy,325.0,16.0,1010.0,26.0,1377.0
171,accurate,602.0,44.0,477.0,87.0,1210.0
172,accurately,188.0,17.0,249.0,35.0,489.0
173,accured,12.0,0.0,0.0,0.0,12.0
174,accusation,214.0,0.0,0.0,72.0,286.0
175,accuse,67.0,0.0,0.0,24.0,91.0
176,accused,592.0,73.0,0.0,243.0,908.0
177,accuses,40.0,0.0,0.0,17.0,57.0
178,accusing,118.0,26.0,0.0,50.0,194.0
179,accustomed,32.0,0.0,0.0,34.0,66.0
180,ace,58.0,0.0,14.0,14.0,86.0
181,acer,15.0,0.0,0.0,0.0,15.0
182,aces,16.0,0.0,0.0,1.0,17.0
183,acess,15.0,0.0,0.0,0.0,15.0
184,acevedo,31.0,0.0,0.0,0.0,31.0
185,aceves,38.0,0.0,0.0,0.0,38.0
186,achievable,45.0,0.0,63.0,0.0,108.0
187,achieve,547.0,37.0,555.0,133.0,1272.0
188,achieved,231.0,19.0,795.0,98.0,1143.0
189,achievement,150.0,0.0,11.0,104.0,265.0
190,achieves,36.0,0.0,153.0,7.0,196.0
191,achieving,137.0,0.0,91.0,25.0,253.0
192,achilles,23.0,0.0,0.0,0.0,23.0
193,acid,38.0,0.0,91.0,41.0,170.0
194,acidity,15.0,0.0,0.0,3.0,18.0
195,ackerman,322.0,0.0,0.0,0.0,322.0
196,acknowledge,273.0,24.0,91.0,74.0,462.0
197,acknowledged,477.0,37.0,30.0,225.0,769.0
198,acknowledgement,18.0,0.0,632.0,8.0,658.0
199,acknowledges,89.0,0.0,48.0,54.0,191.0
200,acknowledging,59.0,0.0,0.0,40.0,99.0
201,acknowledgment,22.0,0.0,286.0,11.0,319.0
202,acl,40.0,0.0,0.0,0.0,40.0
203,aclu,14.0,11.0,0.0,0.0,25.0
204,acn,12.0,0.0,0.0,0.0,12.0
205,acorn,32.0,0.0,0.0,0.0,32.0
206,acoustic,12.0,0.0,633.0,19.0,664.0
207,acquaintance,10.0,0.0,0.0,13.0,23.0
208,acquaintances,12.0,0.0,0.0,5.0,17.0
209,acquainted,11.0,0.0,0.0,5.0,16.0
210,acquire,586.0,0.0,56.0,71.0,713.0
211,acquired,876.0,0.0,75.0,130.0,1081.0
212,acquirer,37.0,0.0,0.0,1.0,38.0
213,acquires,553.0,0.0,15.0,2.0,570.0
214,acquiring,240.0,0.0,11.0,45.0,296.0
215,acquisition,1531.0,0.0,148.0,115.0,1794.0
216,acquistion,13.0,0.0,0.0,0.0,13.0
217,acr,85.0,0.0,0.0,0.0,85.0
218,acre,36.0,0.0,0.0,54.0,90.0
219,acreage,81.0,0.0,0.0,13.0,94.0
220,acrefeet,10.0,0.0,0.0,0.0,10.0
221,acres,242.0,0.0,0.0,100.0,342.0
222,acrobat,102.0,0.0,0.0,1.0,103.0
223,acronym,24.0,0.0,0.0,12.0,36.0
224,acrosstheboard,33.0,0.0,0.0,0.0,33.0
225,act,3018.0,231.0,338.0,452.0,4039.0
226,acta,13.0,0.0,11.0,0.0,24.0
227,acted,282.0,14.0,0.0,75.0,371.0
228,acteva,14.0,0.0,0.0,0.0,14.0
229,actifund,16.0,0.0,0.0,0.0,16.0
230,acting,402.0,41.0,70.0,267.0,780.0
231,action,5688.0,178.0,2318.0,722.0,8906.0
232,actionable,13.0,0.0,0.0,0.0,13.0
233,activate,58.0,0.0,71.0,27.0,156.0
234,activated,128.0,0.0,295.0,33.0,456.0
235,activating,12.0,0.0,32.0,9.0,53.0
236,activation,57.0,0.0,1997.0,18.0,2072.0
237,active,1508.0,85.0,1059.0,210.0,2862.0
238,activecom,18.0,0.0,0.0,0.0,18.0
239,actively,313.0,24.0,43.0,34.0,414.0
240,actives,71.0,0.0,0.0,0.0,71.0
241,activism,11.0,12.0,0.0,17.0,40.0
242,activist,342.0,49.0,0.0,161.0,552.0
243,activites,11.0,0.0,0.0,0.0,11.0
244,activities,1861.0,70.0,381.0,158.0,2470.0
245,activity,1345.0,69.0,2073.0,166.0,3653.0
246,acton,11.0,0.0,0.0,0.0,11.0
247,actor,62.0,11.0,222.0,334.0,629.0
248,actress,14.0,0.0,0.0,130.0,144.0
249,actual,1237.0,82.0,804.0,123.0,2246.0
250,actually,1725.0,0.0,445.0,557.0,2727.0
251,actuarial,21.0,0.0,0.0,3.0,24.0
252,acumen,24.0,0.0,0.0,7.0,31.0
253,acute,42.0,0.0,16.0,28.0,86.0
254,acwa,10.0,0.0,0.0,0.0,10.0
255,ada,72.0,0.0,0.0,0.0,72.0
256,adam,471.0,24.0,48.0,2.0,545.0
257,adamant,43.0,0.0,0.0,9.0,52.0
258,adamantly,22.0,0.0,0.0,6.0,28.0
259,adamiak,17.0,0.0,0.0,0.0,17.0
260,adamson,78.0,0.0,0.0,0.0,78.0
261,adante,11.0,0.0,0.0,0.0,11.0
262,adapt,51.0,0.0,262.0,21.0,334.0
263,adaptable,12.0,0.0,27.0,2.0,41.0
264,adaptation,14.0,0.0,777.0,43.0,834.0
265,adapted,25.0,0.0,191.0,65.0,281.0
266,adapter,36.0,0.0,0.0,1.0,37.0
267,adaptive,28.0,0.0,1567.0,8.0,1603.0
268,adaptiveinfo,11.0,0.0,0.0,0.0,11.0
269,adaytum,10.0,0.0,0.0,0.0,10.0
270,adc,33.0,0.0,0.0,0.0,33.0
271,add,3331.0,182.0,447.0,771.0,4731.0
272,addai,18.0,0.0,0.0,0.0,18.0
273,adddrop,36.0,0.0,0.0,0.0,36.0
274,added,2938.0,178.0,591.0,964.0,4671.0
275,addedvalue,10.0,0.0,0.0,0.0,10.0
276,addendum,29.0,0.0,0.0,4.0,33.0
277,adder,51.0,0.0,11.0,0.0,62.0
278,addict,13.0,0.0,0.0,32.0,45.0
279,addictive,13.0,0.0,0.0,19.0,32.0
280,addin,18.0,0.0,0.0,0.0,18.0
281,adding,965.0,69.0,402.0,328.0,1764.0
282,addison,11.0,0.0,143.0,0.0,154.0
283,addition,3260.0,106.0,927.0,455.0,4748.0
284,additional,5285.0,101.0,878.0,366.0,6630.0
285,additionally,466.0,0.0,85.0,86.0,637.0
286,additive,26.0,0.0,388.0,2.0,416.0
287,addon,45.0,0.0,0.0,0.0,45.0
288,address,5222.0,110.0,535.0,426.0,6293.0
289,addressed,947.0,13.0,172.0,80.0,1212.0
290,addressee,209.0,0.0,0.0,0.0,209.0
291,addressees,97.0,0.0,0.0,0.0,97.0
292,addresses,563.0,19.0,126.0,64.0,772.0
293,addressing,490.0,14.0,45.0,39.0,588.0
294,addtion,10.0,0.0,0.0,0.0,10.0
295,addtional,15.0,0.0,0.0,0.0,15.0
296,adea,27.0,0.0,0.0,0.0,27.0
297,adelson,13.0,0.0,72.0,0.0,85.0
298,adept,26.0,0.0,0.0,16.0,42.0
299,adeq,58.0,0.0,0.0,0.0,58.0
300,adequacy,77.0,0.0,0.0,3.0,80.0
301,adequate,626.0,0.0,122.0,69.0,817.0
302,adequately,136.0,0.0,36.0,20.0,192.0
303,ader,11.0,0.0,0.0,0.0,11.0
304,adewumi,18.0,0.0,0.0,0.0,18.0
305,adexa,13.0,0.0,0.0,0.0,13.0
306,adhere,38.0,0.0,0.0,14.0,52.0
307,adherence,17.0,0.0,0.0,7.0,24.0
308,adhering,11.0,0.0,0.0,4.0,15.0
309,adhoc,25.0,0.0,0.0,0.0,25.0
310,adi,11.0,0.0,0.0,0.0,11.0
311,aditya,14.0,0.0,0.0,0.0,14.0
312,adjacent,73.0,0.0,192.0,22.0,287.0
313,adjoining,15.0,0.0,0.0,15.0,30.0
314,adjourn,60.0,0.0,0.0,1.0,61.0
315,adjourned,46.0,0.0,0.0,2.0,48.0
316,adjournment,30.0,0.0,0.0,0.0,30.0
317,adjudicate,18.0,0.0,0.0,0.0,18.0
318,adjudication,10.0,0.0,0.0,2.0,12.0
319,adjunct,17.0,0.0,0.0,8.0,25.0
320,adjust,301.0,16.0,193.0,52.0,562.0
321,adjustable,24.0,0.0,157.0,5.0,186.0
322,adjusted,281.0,12.0,215.0,32.0,540.0
323,adjusting,67.0,0.0,116.0,25.0,208.0
324,adjustment,796.0,0.0,89.0,49.0,934.0
325,adl,15.0,0.0,0.0,0.0,15.0
326,adler,12.0,0.0,0.0,0.0,12.0
327,adm,14.0,0.0,0.0,0.0,14.0
328,admin,381.0,334.0,0.0,0.0,715.0
329,administer,114.0,0.0,0.0,10.0,124.0
330,administered,70.0,0.0,0.0,13.0,83.0
331,administering,32.0,0.0,0.0,4.0,36.0
332,administration,2947.0,1414.0,24.0,674.0,5059.0
333,administrative,1247.0,11.0,0.0,51.0,1309.0
334,administratively,18.0,0.0,0.0,1.0,19.0
335,administrator,540.0,17.0,0.0,85.0,642.0
336,adminstration,10.0,0.0,0.0,2.0,12.0
337,admirable,12.0,0.0,0.0,18.0,30.0
338,admiral,13.0,0.0,0.0,24.0,37.0
339,admiration,12.0,0.0,0.0,21.0,33.0
340,admire,20.0,12.0,0.0,25.0,57.0
341,admired,26.0,0.0,0.0,20.0,46.0
342,admirer,10.0,0.0,0.0,30.0,40.0
343,admission,204.0,16.0,61.0,130.0,411.0
344,admit,277.0,56.0,46.0,184.0,563.0
345,admitted,245.0,33.0,0.0,144.0,422.0
346,admittedly,37.0,0.0,0.0,29.0,66.0
347,admitting,39.0,12.0,0.0,21.0,72.0
348,admonished,19.0,0.0,0.0,3.0,22.0
349,admonition,18.0,0.0,0.0,5.0,23.0
350,adobe,148.0,0.0,0.0,7.0,155.0
351,adolph,14.0,0.0,0.0,0.0,14.0
352,adopt,417.0,15.0,97.0,52.0,581.0
353,adopted,502.0,10.0,98.0,132.0,742.0
354,adopter,15.0,0.0,0.0,9.0,24.0
355,adopting,122.0,10.0,26.0,23.0,181.0
356,adoption,215.0,0.0,0.0,49.0,264.0
357,adorable,22.0,0.0,0.0,6.0,28.0
358,adore,14.0,0.0,0.0,1.0,15.0
359,adr,33.0,0.0,0.0,0.0,33.0
360,adrian,51.0,0.0,10.0,0.0,61.0
361,adrienne,15.0,0.0,0.0,0.0,15.0
362,adsl,10.0,0.0,0.0,0.0,10.0
363,adtran,15.0,0.0,0.0,0.0,15.0
364,adult,266.0,16.0,71.0,324.0,677.0
365,advance,1472.0,51.0,109.0,202.0,1834.0
366,advanced,766.0,18.0,187.0,108.0,1079.0
367,advancement,88.0,0.0,0.0,18.0,106.0
368,advancer,26.0,0.0,0.0,6.0,32.0
369,advances,162.0,0.0,980.0,85.0,1227.0
370,advancing,212.0,0.0,0.0,25.0,237.0
371,advani,16.0,0.0,0.0,0.0,16.0
372,advanta,10.0,0.0,0.0,0.0,10.0
373,advantage,1428.0,166.0,603.0,354.0,2551.0
374,advantageous,27.0,0.0,58.0,5.0,90.0
375,advantages,147.0,40.0,320.0,60.0,567.0
376,advent,77.0,0.0,0.0,43.0,120.0
377,adventure,125.0,10.0,0.0,57.0,192.0
378,adventures,33.0,0.0,0.0,32.0,65.0
379,adversarial,11.0,0.0,0.0,8.0,19.0
380,adversaries,19.0,0.0,0.0,21.0,40.0
381,adverse,250.0,0.0,7.0,27.0,284.0
382,adversely,78.0,0.0,0.0,8.0,86.0
383,adversity,17.0,0.0,0.0,8.0,25.0
384,advertise,222.0,14.0,0.0,27.0,263.0
385,advertised,62.0,0.0,0.0,22.0,84.0
386,advertisement,411.0,11.0,0.0,138.0,560.0
387,advertiser,142.0,15.0,0.0,55.0,212.0
388,advertises,12.0,0.0,0.0,4.0,16.0
389,advertising,594.0,465.0,0.0,365.0,1424.0
390,advice,1245.0,63.0,37.0,237.0,1582.0
391,advice_____________________,20.0,0.0,0.0,0.0,20.0
392,advisable,20.0,0.0,0.0,5.0,25.0
393,advise,971.0,0.0,0.0,34.0,1005.0
394,advised,600.0,17.0,0.0,60.0,677.0
395,adviser,744.0,137.0,0.0,320.0,1201.0
396,advises,67.0,0.0,0.0,35.0,102.0
397,advising,167.0,0.0,0.0,22.0,189.0
398,advisor,806.0,16.0,0.0,5.0,827.0
399,advisory,618.0,11.0,0.0,68.0,697.0
400,advocacy,167.0,24.0,0.0,54.0,245.0
401,advocate,383.0,32.0,8.0,80.0,503.0
402,advocated,68.0,0.0,16.0,19.0,103.0
403,advocates,595.0,16.0,0.0,139.0,750.0
404,advocating,130.0,0.0,0.0,20.0,150.0
405,aea,28.0,0.0,11.0,0.0,39.0
406,aec,36.0,0.0,0.0,0.0,36.0
407,aeco,14.0,0.0,0.0,0.0,14.0
408,aegean,10.0,0.0,0.0,0.0,10.0
409,aegis,16.0,0.0,0.0,4.0,20.0
410,ael,26.0,0.0,0.0,0.0,26.0
411,aeneas,10.0,0.0,0.0,0.0,10.0
412,aep,473.0,0.0,0.0,0.0,473.0
413,aephpl,12.0,0.0,0.0,0.0,12.0
414,aer,15.0,0.0,14.0,0.0,29.0
415,aera,28.0,0.0,0.0,0.0,28.0
416,aerial,56.0,0.0,21.0,15.0,92.0
417,aerobic,18.0,0.0,0.0,15.0,33.0
418,aeros,28.0,0.0,0.0,0.0,28.0
419,aerospace,68.0,0.0,11.0,24.0,103.0
420,aes,839.0,0.0,0.0,0.0,839.0
421,aesop,40.0,0.0,0.0,0.0,40.0
422,aess,22.0,0.0,0.0,0.0,22.0
423,aesthetic,10.0,0.0,0.0,28.0,38.0
424,aet,24.0,0.0,0.0,0.0,24.0
425,aether,20.0,0.0,0.0,0.0,20.0
426,aetna,15.0,0.0,0.0,0.0,15.0
427,af56661,12.0,0.0,0.0,0.0,12.0
428,afar,11.0,0.0,0.0,7.0,18.0
429,afb,13.0,0.0,0.0,0.0,13.0
430,afc,44.0,0.0,0.0,0.0,44.0
431,affair,2011.0,54.0,0.0,228.0,2293.0
432,affairsthe,17.0,0.0,0.0,0.0,17.0
433,affect,1023.0,49.0,307.0,166.0,1545.0
434,affected,691.0,18.0,116.0,123.0,948.0
435,affecting,238.0,0.0,51.0,35.0,324.0
436,affection,11.0,0.0,0.0,39.0,50.0
437,affidavit,79.0,0.0,0.0,16.0,95.0
438,affiliate,1269.0,14.0,0.0,21.0,1304.0
439,affiliated,214.0,17.0,0.0,26.0,257.0
440,affiliates,1139.0,14.0,0.0,8.0,1161.0
441,affiliation,50.0,15.0,0.0,11.0,76.0
442,affinity,14.0,0.0,0.0,11.0,25.0
443,affirm,70.0,0.0,0.0,5.0,75.0
444,affirmation,13.0,0.0,0.0,6.0,19.0
445,affirmative,91.0,0.0,0.0,41.0,132.0
446,affirmatively,20.0,0.0,0.0,3.0,23.0
447,affirmed,49.0,0.0,0.0,3.0,52.0
448,affirming,31.0,0.0,0.0,5.0,36.0
449,afflicted,13.0,0.0,0.0,7.0,20.0
450,affliction,10.0,0.0,0.0,8.0,18.0
451,affluent,27.0,0.0,0.0,34.0,61.0
452,afford,461.0,36.0,13.0,146.0,656.0
453,affordable,226.0,0.0,0.0,53.0,279.0
454,afforded,38.0,0.0,13.0,8.0,59.0
455,afghan,103.0,23.0,0.0,5.0,131.0
456,afghanistan,294.0,124.0,0.0,0.0,418.0
457,afl,10.0,0.0,0.0,0.0,10.0
458,aflcio,40.0,36.0,0.0,0.0,76.0
459,afloat,59.0,0.0,0.0,8.0,67.0
460,afoot,12.0,0.0,0.0,6.0,18.0
461,aforementioned,29.0,0.0,0.0,9.0,38.0
462,afoul,12.0,0.0,0.0,7.0,19.0
463,afp,43.0,0.0,0.0,0.0,43.0
464,afpextel,66.0,0.0,0.0,0.0,66.0
465,afraid,200.0,66.0,0.0,117.0,383.0
466,africa,278.0,21.0,13.0,0.0,312.0
467,africamiddle,11.0,0.0,0.0,0.0,11.0
468,african,168.0,47.0,0.0,231.0,446.0
469,africanamerican,42.0,14.0,0.0,0.0,56.0
470,africas,20.0,0.0,0.0,0.0,20.0
471,aft,15.0,12.0,0.0,0.0,27.0
472,aftab,16.0,0.0,0.0,0.0,16.0
473,afterhour,49.0,0.0,0.0,0.0,49.0
474,aftermath,72.0,21.0,0.0,32.0,125.0
475,afternoon,1927.0,74.0,0.0,318.0,2319.0
476,afternoonevening,11.0,0.0,0.0,0.0,11.0
477,afterschool,23.0,0.0,0.0,0.0,23.0
478,aftertax,64.0,0.0,0.0,0.0,64.0
479,afterthefact,18.0,0.0,0.0,0.0,18.0
480,afx,277.0,0.0,0.0,0.0,277.0
481,aga,132.0,0.0,0.0,0.0,132.0
482,agagu,10.0,0.0,0.0,0.0,10.0
483,against,7070.0,0.0,406.0,0.0,7476.0
484,agame,12.0,0.0,0.0,0.0,12.0
485,agarwal,27.0,0.0,0.0,0.0,27.0
486,agas,9.0,0.0,0.0,0.0,9.0
487,agc,14.0,0.0,20.0,0.0,34.0
488,age,562.0,69.0,140.0,796.0,1567.0
489,aged,57.0,14.0,15.0,61.0,147.0
490,agence,52.0,0.0,0.0,0.0,52.0
491,agencies,1382.0,54.0,14.0,288.0,1738.0
492,agency,2888.0,93.0,51.0,519.0,3551.0
493,agenda,1813.0,100.0,0.0,199.0,2112.0
494,agendadoc,20.0,0.0,0.0,0.0,20.0
495,agendas,72.0,0.0,0.0,23.0,95.0
496,agent,1723.0,32.0,466.0,699.0,2920.0
497,agerter,10.0,0.0,0.0,0.0,10.0
498,ages,84.0,18.0,29.0,115.0,246.0
499,agg,17.0,0.0,0.0,0.0,17.0
500,aggie,89.0,0.0,0.0,0.0,89.0
501,aggies,177.0,0.0,0.0,0.0,177.0
502,aggpwrii,108.0,0.0,0.0,0.0,108.0
503,aggravate,10.0,0.0,0.0,3.0,13.0
504,aggravated,31.0,0.0,0.0,20.0,51.0
505,aggravation,11.0,0.0,0.0,1.0,12.0
506,aggregate,251.0,0.0,42.0,16.0,309.0
507,aggregated,64.0,0.0,11.0,0.0,75.0
508,aggregates,20.0,0.0,0.0,1.0,21.0
509,aggregating,19.0,0.0,11.0,0.0,30.0
510,aggregation,121.0,0.0,50.0,4.0,175.0
511,aggregator,153.0,0.0,0.0,2.0,155.0
512,aggressive,527.0,37.0,29.0,165.0,758.0
513,aggressively,271.0,12.0,0.0,78.0,361.0
514,aggrieved,12.0,0.0,0.0,3.0,15.0
515,agile,31.0,0.0,0.0,4.0,35.0
516,agilent,40.0,0.0,0.0,0.0,40.0
517,agility,18.0,0.0,0.0,7.0,25.0
518,agin,14.0,0.0,0.0,0.0,14.0
519,aging,155.0,0.0,16.0,159.0,330.0
520,agip,23.0,0.0,0.0,0.0,23.0
521,agitation,10.0,0.0,0.0,0.0,10.0
522,agl,22.0,0.0,0.0,0.0,22.0
523,aglc,27.0,0.0,0.0,0.0,27.0
524,agnes,11.0,0.0,0.0,0.0,11.0
525,agnew,11.0,0.0,0.0,0.0,11.0
526,ago,2936.0,0.0,27.0,1690.0,4653.0
527,agony,12.0,0.0,0.0,9.0,21.0
528,agp,16.0,0.0,0.0,0.0,16.0
529,agr,13.0,0.0,13.0,0.0,26.0
530,agra,12.0,0.0,0.0,0.0,12.0
